id,name,ingredients,calories,allergens
1000,Food Bread,"salt, oil",519,none
1001,Food Bread,"salt, oil",565,none
1002,Food Bread,"salt, oil",694,none
1003,Food Bread,"salt, oil",468,none
1004,Food Bread,"salt, oil",724,none
1005,Food Bread,"salt, oil",742,none
1006,Food Bread,"salt, oil",389,none
1007,Food Bread,"salt, oil",472,none
1008,Food Bread,"salt, oil",295,none
1009,Food Bread,"salt, oil",363,none
1010,Food Bread,"salt, oil",786,none
1011,Food Bread,"salt, oil",707,none
1012,Food Bread,"salt, oil",451,none
1013,Food Bread,"salt, oil",575,none
1014,Food Bread,"salt, oil",317,none
1015,Food Bread,"salt, oil",505,none
1016,Food Bread,"salt, oil",436,none
1017,Food Bread,"salt, oil",267,none
1018,Food Bread,"salt, oil",375,none
1019,Food Bread,"salt, oil",270,none
1020,Food Bread,"salt, oil",434,none
1021,Food Bread,"salt, oil",619,none
1022,Food Bread,"salt, oil",716,none
1023,Food Bread,"salt, oil",677,none
1024,Food Bread,"salt, oil",511,none
1025,Food Bread,"salt, oil",733,none
1026,Food Bread,"salt, oil",710,none
1027,Food Bread,"salt, oil",234,none
1028,Food Bread,"salt, oil",759,none
1029,Food Bread,"salt, oil",322,none
1030,Food Bread,"salt, oil",298,none
1031,Food Bread,"salt, oil",353,none
1032,Food Bread,"salt, oil",400,none
1033,Food Bread,"salt, oil",328,none
1034,Food Bread,"salt, oil",267,none
1035,Food Bread,"salt, oil",499,none
1036,Food Bread,"salt, oil",729,none
1037,Food Bread,"salt, oil",659,none
1038,Food Bread,"salt, oil",451,none
1039,Food Bread,"salt, oil",715,none
1040,Food Bread,"salt, oil",357,none
1041,Food Bread,"salt, oil",372,none
1042,Food Bread,"salt, oil",225,none
1043,Food Bread,"salt, oil",552,none
1044,Food Bread,"salt, oil",370,none
1045,Food Bread,"salt, oil",401,none
1046,Food Bread,"salt, oil",422,none
1047,Food Bread,"salt, oil",224,none
1048,Food Bread,"salt, oil",703,none
1049,Food Bread,"salt, oil",447,none
1050,Food Bread,"salt, oil",657,none
1051,Food Bread,"salt, oil",435,none
1052,Food Bread,"salt, oil",585,none
1053,Food Bread,"salt, oil",763,none
1054,Food Bread,"salt, oil",397,none
1055,Food Bread,"salt, oil",798,none
1056,Food Bread,"salt, oil",439,none
1057,Food Bread,"salt, oil",279,none
1058,Food Bread,"salt, oil",299,none
1059,Food Bread,"salt, oil",635,none
1060,Food Bread,"salt, oil",634,none
1061,Food Bread,"salt, oil",284,none
1062,Food Bread,"salt, oil",431,none
1063,Food Bread,"salt, oil",733,none
1064,Food Bread,"salt, oil",434,none
1065,Food Bread,"salt, oil",478,none
1066,Food Bread,"salt, oil",724,none
1067,Food Bread,"salt, oil",493,none
1068,Food Bread,"salt, oil",471,none
1069,Food Bread,"salt, oil",530,none
1070,Food Bread,"salt, oil",671,none
1071,Food Bread,"salt, oil",553,none
1072,Food Bread,"salt, oil",617,none
1073,Food Bread,"salt, oil",701,none
1074,Food Bread,"salt, oil",634,none
1075,Food Bread,"salt, oil",793,none
1076,Food Bread,"salt, oil",646,none
1077,Food Bread,"salt, oil",584,none
1078,Food Bread,"salt, oil",203,none
1079,Food Bread,"salt, oil",347,none
1080,Food Bread,"salt, oil",246,none
1081,Food Bread,"salt, oil",450,none
1082,Food Bread,"salt, oil",760,none
1083,Food Bread,"salt, oil",426,none
1084,Food Bread,"salt, oil",245,none
1085,Food Bread,"salt, oil",249,none
1086,Food Bread,"salt, oil",740,none
1087,Food Bread,"salt, oil",714,none
1088,Food Bread,"salt, oil",603,none
1089,Food Bread,"salt, oil",286,none
1090,Food Bread,"salt, oil",352,none
1091,Food Bread,"salt, oil",361,none
1092,Food Bread,"salt, oil",288,none
1093,Food Bread,"salt, oil",282,none
1094,Food Bread,"salt, oil",535,none
1095,Food Bread,"salt, oil",441,none
1096,Food Bread,"salt, oil",452,none
1097,Food Bread,"salt, oil",769,none
1098,Food Bread,"salt, oil",708,none
1099,Food Bread,"salt, oil",703,none
1100,Food Bread,"salt, oil",376,none
1101,Food Bread,"salt, oil",795,none
1102,Food Bread,"salt, oil",284,none
1103,Food Bread,"salt, oil",522,none
1104,Food Bread,"salt, oil",272,none
1105,Food Bread,"salt, oil",405,none
1106,Food Bread,"salt, oil",248,none
1107,Food Bread,"salt, oil",664,none
1108,Food Bread,"salt, oil",667,none
1109,Food Bread,"salt, oil",798,none
1110,Food Bread,"salt, oil",664,none
1111,Food Bread,"salt, oil",550,none
1112,Food Bread,"salt, oil",797,none
1113,Food Bread,"salt, oil",440,none
1114,Food Bread,"salt, oil",771,none
1115,Food Bread,"salt, oil",514,none
1116,Food Bread,"salt, oil",661,none
1117,Food Bread,"salt, oil",234,none
1118,Food Bread,"salt, oil",635,none
1119,Food Bread,"salt, oil",316,none
1120,Food Bread,"salt, oil",455,none
1121,Food Bread,"salt, oil",621,none
1122,Food Bread,"salt, oil",674,none
1123,Food Bread,"salt, oil",468,none
1124,Food Bread,"salt, oil",790,none
1125,Food Bread,"salt, oil",794,none
1126,Food Bread,"salt, oil",404,none
1127,Food Bread,"salt, oil",697,none
1128,Food Bread,"salt, oil",674,none
1129,Food Bread,"salt, oil",311,none
1130,Food Bread,"salt, oil",788,none
1131,Food Bread,"salt, oil",707,none
1132,Food Bread,"salt, oil",408,none
1133,Food Bread,"salt, oil",422,none
1134,Food Bread,"salt, oil",467,none
1135,Food Bread,"salt, oil",431,none
1136,Food Bread,"salt, oil",223,none
1137,Food Bread,"salt, oil",496,none
1138,Food Bread,"salt, oil",411,none
1139,Food Bread,"salt, oil",644,none
1140,Food Bread,"salt, oil",577,none
1141,Food Bread,"salt, oil",477,none
1142,Food Bread,"salt, oil",211,none
1143,Food Bread,"salt, oil",707,none
1144,Food Bread,"salt, oil",363,none
1145,Food Bread,"salt, oil",272,none
1146,Food Bread,"salt, oil",217,none
1147,Food Bread,"salt, oil",253,none
1148,Food Bread,"salt, oil",240,none
1149,Food Bread,"salt, oil",356,none
1150,Food Bread,"salt, oil",225,none
1151,Food Bread,"salt, oil",708,none
1152,Food Bread,"salt, oil",385,none
1153,Food Bread,"salt, oil",222,none
1154,Food Bread,"salt, oil",212,none
1155,Food Bread,"salt, oil",526,none
1156,Food Bread,"salt, oil",386,none
1157,Food Bread,"salt, oil",273,none
1158,Food Bread,"salt, oil",404,none
1159,Food Bread,"salt, oil",321,none
1160,Food Bread,"salt, oil",207,none
1161,Food Bread,"salt, oil",703,none
1162,Food Bread,"salt, oil",673,none
1163,Food Bread,"salt, oil",469,none
1164,Food Bread,"salt, oil",320,none
1165,Food Bread,"salt, oil",210,none
1166,Food Bread,"salt, oil",554,none
1167,Food Bread,"salt, oil",535,none
1168,Food Bread,"salt, oil",235,none
1169,Food Bread,"salt, oil",476,none
1170,Food Bread,"salt, oil",580,none
1171,Food Bread,"salt, oil",710,none
1172,Food Bread,"salt, oil",669,none
1173,Food Bread,"salt, oil",286,none
1174,Food Bread,"salt, oil",345,none
1175,Food Bread,"salt, oil",586,none
1176,Food Bread,"salt, oil",255,none
1177,Food Bread,"salt, oil",650,none
1178,Food Bread,"salt, oil",249,none
1179,Food Bread,"salt, oil",717,none
1180,Food Bread,"salt, oil",529,none
1181,Food Bread,"salt, oil",217,none
1182,Food Bread,"salt, oil",531,none
1183,Food Bread,"salt, oil",707,none
1184,Food Bread,"salt, oil",687,none
1185,Food Bread,"salt, oil",382,none
1186,Food Bread,"salt, oil",325,none
1187,Food Bread,"salt, oil",396,none
1188,Food Bread,"salt, oil",296,none
1189,Food Bread,"salt, oil",625,none
1190,Food Bread,"salt, oil",554,none
1191,Food Bread,"salt, oil",263,none
1192,Food Bread,"salt, oil",745,none
1193,Food Bread,"salt, oil",226,none
1194,Food Bread,"salt, oil",400,none
1195,Food Bread,"salt, oil",503,none
1196,Food Bread,"salt, oil",672,none
1197,Food Bread,"salt, oil",401,none
1198,Food Bread,"salt, oil",669,none
1199,Food Bread,"salt, oil",619,none
1200,Food Bread,"salt, oil",664,none
1201,Food Bread,"salt, oil",265,none
1202,Food Bread,"salt, oil",751,none
1203,Food Bread,"salt, oil",500,none
1204,Food Bread,"salt, oil",572,none
1205,Food Bread,"salt, oil",235,none
1206,Food Bread,"salt, oil",728,none
1207,Food Bread,"salt, oil",594,none
1208,Food Bread,"salt, oil",348,none
1209,Food Bread,"salt, oil",202,none
1210,Food Bread,"salt, oil",397,none
1211,Food Bread,"salt, oil",787,none
1212,Food Bread,"salt, oil",301,none
1213,Food Bread,"salt, oil",581,none
1214,Food Bread,"salt, oil",662,none
1215,Food Bread,"salt, oil",313,none
1216,Food Bread,"salt, oil",776,none
1217,Food Bread,"salt, oil",744,none
